,training
0,5
1,7
2,8
3,6
4,9
5,7
6,7
7,4
8,6
9,5
10,1
11,4
12,4
13,8
14,8
15,8
16,2
17,1
18,9
19,4
20,3
21,1
22,8
23,0
24,1
25,9
26,0
27,5
28,6
29,0
30,8
31,7
32,4
33,5
34,1
35,9
36,3
37,0
38,8
39,2
40,5
41,2
42,8
43,9
44,1
45,7
46,0
47,4
48,1
49,7
50,2
51,4
52,2
53,5
54,7
55,4
56,8
57,9
58,6
59,6
60,1
61,8
62,2
63,0
64,9
65,1
66,1
67,6
68,7
69,8
70,5
71,7
72,7
73,3
74,2
75,3
76,0
77,6
78,0
79,0
80,8
81,0
82,1
83,0
84,6
85,9
86,8
87,8
88,6
89,0
90,9
91,4
92,4
93,8
94,2
95,3
96,0
97,2
98,8
99,9
100,8
101,5
102,2
103,9
104,6
105,6
106,8
107,9
108,9
109,6
110,3
111,8
112,1
113,5
114,3
115,8
116,1
117,7
118,7
119,1
120,7
121,6
122,6
123,0
124,6
125,7
126,8
127,3
128,6
129,1
130,0
131,3
132,6
133,3
134,7
135,5
136,8
137,0
138,4
139,9
140,9
141,2
142,6
143,2
144,6
145,2
146,0
147,4
148,7
149,7
150,5
151,9
152,3
153,2
154,6
155,4
156,0
157,2
158,2
159,8
160,0
161,0
162,9
163,3
164,1
165,7
166,0
167,4
168,4
169,9
170,1
171,9
172,2
173,4
174,1
175,3
176,6
177,1
178,7
179,0
180,0
181,5
182,3
183,5
184,7
185,2
186,5
187,9
188,5
189,9
190,8
191,3
192,5
193,5
194,2
195,9
196,6
197,8
198,3
199,4
200,4
201,7
202,5
203,2
204,8
205,0
206,7
207,0
208,2
209,5
210,6
211,8
212,6
213,1
214,7
215,0
216,7
217,3
218,0
219,6
220,3
221,2
222,1
223,6
224,4
225,6
226,6
227,0
228,7
229,0
230,4
231,0
232,2
233,6
234,2
235,7
236,9
237,8
238,7
239,8
240,1
241,0
242,3
243,2
244,7
245,0
246,6
247,7
248,9
249,4
250,1
251,8
252,2
253,6
254,6
255,7
256,7
257,9
258,7
259,3
260,4
261,7
262,6
263,7
264,0
265,0
266,1
267,1
268,4
269,2
270,7
271,3
272,9
273,0
274,1
275,3
276,4
277,9
278,5
279,1
280,7
281,2
282,4
283,4
284,1
285,9
286,3
287,5
288,9
289,8
290,8
291,6
292,4
293,0
294,5
295,2
296,8
297,6
298,6
299,9
300,5
301,6
302,5
303,0
304,8
305,9
306,7
307,2
308,6
309,4
310,3
311,1
312,7
313,6
314,8
315,4
316,4
317,9
318,1
319,9
320,7
321,0
322,8
323,6
324,7
325,6
326,6
327,8
328,0
329,5
330,6
331,2
332,4
333,7
334,7
335,4
336,2
337,6
338,7
339,8
340,7
341,6
342,0
343,4
344,3
345,3
346,2
347,0
348,0
349,7
350,3
351,5
352,9
